LOTE;UNIDAD;TIPO;MARCA;MODELO;ANHO;TRACC;COMB;KILOMETRAJE;ADJUDIC
108;LEASING;HATCHBACK;SUZUKI;ALTO DLX 800;2017;4x2;B;NULL;2400000
109;BFE;SEDAN;BYD;NEW F3 GS I 1.5;2015;4x2;B;NULL;3200000
1;AUTOMOTORAS;HATCHBACK;INFINITI;QX60 3.5 AUT;2016;AWD;B;NULL;14300000
2;PARTICULARES;SUV/JEEP;FORD;EDGE AWD 3.5 AUT;2018;AWD;B;NULL;14800000
3;PARTICULARES;SUV/JEEP;NISSAN;X TRAIL SENSE 2.5 AUT;2016;4x2;B;NULL;8600000
4;PARTICULARES;SUV/JEEP;VOLKSWAGEN;TIGUAN SPORT TSI 4X4 2.0 AUT;2014;4x4;B;NULL;7100000
5;PARTICULARES;SUV/JEEP;JEEP;GRAND CHEROKEE LTD 3.0;2013;4x4;D;NULL;8300000
6;LEASING;SEDAN;HYUNDAI;ELANTRA GLS 1.6 AT;2018;4x2;B;NULL;9300000
8;PARTICULARES;HATCHBACK;VOLVO;V40 T4 COMFORT;2015;4x2;B;NULL;8000000
10;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ALLURE HDI 1.6;2017;4x2;D;NULL;6800000
11;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ALLURE HDI 1.6;2017;4x2;D;NULL;7100000
12;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ALLURE HDI 1.6;2017;4x2;D;NULL;7100000
14;LEASING;SEDAN;MAZDA;3 1.6;2016;4x2;B;NULL;6200000
15;BFE;STATION WAGON;MAHINDRA;XUV500 CRDE 2.2;2016;4x4;D;NULL;6700000
16;AUTOMOTORAS;STATION WAGON;NISSAN;X TRAIL S 2.5 AUT;2014;4x4;B;NULL;5700000
17;AUTOMOTORAS;HATCHBACK;PEUGEOT;508 LTD THP 1.6 AT;2012;4x2;B;NULL;5000000
18;LEASING;SUV/JEEP;SUZUKI;GRAND NOMADE GLX 2.4 AUT;2017;4x2;B;NULL;6000000
19;LEASING;SUV/JEEP;SUZUKI;GRAND NOMADE 2.4;2017;4x2;B;NULL;6000000
20;AUTOMOTORAS;HATCHBACK;PEUGEOT;301 ALLURE HDI 1.6;2017;4x2;D;NULL;6000000
21;AUTOMOTORAS;HATCHBACK;PEUGEOT;301 ALLURE HDI 1.6;2017;4x2;D;NULL;5900000
22;AUTOMOTORAS;HATCHBACK;PEUGEOT;301 ALLURE HDI 1.6;2017;4x2;D;NULL;5900000
23;AUTOMOTORAS;HATCHBACK;PEUGEOT;301 ALLURE HDI 1.6;2017;4x2;D;NULL;5900000
24;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ALLURE 1.4;2016;4x2;D;NULL;5700000
25;AUTOMOTORAS;SEDAN;PEUGEOT;301 ACTIVE VTI 1.6 AUT;2018;4x2;B;NULL;5700000
26;AUTOMOTORAS;SEDAN;PEUGEOT;301 ACTIVE VTI 1.6 AUT;2018;4x2;B;NULL;5900000
27;LEASING;HATCHBACK;HYUNDAI;GRAND I10 BA GLS 1.2 AT;2018;4x2;B;NULL;6200000
28;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE 1.2;2017;4x2;B;NULL;6000000
29;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2;2017;4x2;D;NULL;6000000
30;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2;2017;4x2;B;NULL;6000000
31;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2;2017;4x2;B;NULL;6000000
32;AUTOMOTORAS;HATCHBACK;SUZUKI;SWIFT GL HB 1.2;2018;4x2;B;NULL;5100000
33;LEASING;SEDAN;HYUNDAI;ACCENT RB 1.4;2017;4x2;B;NULL;5500000
34;PARTICULARES;SEDAN;PEUGEOT;301 VTI 1.6 AUT;2017;4x2;B;NULL;5200000
35;BFE;CAMIONETA;FORD;F150 LARIAT 4X4 5.0 AUT;2014;4x4;B;NULL;10600000
36;BFE;CAMIONETA;DODGE;NEW RAM1500 4X4 3.6;2014;4x4;B;NULL;9900000
37;LEASING;CAMIONETA;NISSAN;NP300 DCAB 4X4 2.3;2017;4x4;D;NULL;9800000
38;LEASING;CAMIONETA;NISSAN;NP300 2.3;2017;4x4;D;NULL;9800000
39;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2016;4x4;D;NULL;8900000
40;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK POWER PLUS 4X4 2.0;2016;4x4;D;NULL;8900000
41;LEASING;CAMIONETA;NISSAN;NP300 DCAB 2.3;2016;4x4;D;NULL;8700000
43;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 4X4 2.4;2016;4x4;D;NULL;8000000
44;LEASING;CAMIONETA;TOYOTA;HILUX D CAB 4X4 2.5;2016;4x4;D;NULL;6900000
45;LEASING;CAMIONETA;TOYOTA;HILUX 4X4 2.5;2016;4x4;D;NULL;6900000
46;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB 2.4;2016;4x2;D;NULL;7000000
47;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRM 4X4 2.4;2016;4x4;D;NULL;7200000
48;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI SR 4X4 2.5;2015;4x4;D;NULL;6100000
49;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI SR 4X4 2.5;2015;4x4;D;NULL;6100000
50;LEASING;CAMIONETA;TOYOTA;HI LUX D CAB TDI 4X4 2.5;2015;4x4;D;NULL;6400000
53;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI SR 2.5;2015;4x2;D;NULL;7100000
54;LEASING;CAMIONETA;TOYOTA;HILUX DCAB TDI SR 2.5;2015;4x2;D;NULL;5900000
55;LEASING;CAMIONETA;TOYOTA;HILUX D CAB 2.5;2015;4x2;D;NULL;7100000
56;LEASING;CAMIONETA;NISSAN;TERRANO DCAB AX 2.5;2014;4x2;D;NULL;4600000
57;LEASING;CAMIONETA;NISSAN;TERRANO DCAB AX 2.5;2014;4x2;D;NULL;4100000
58;LEASING;FURGON;PEUGEOT;PARTNER HDI 1.6;2016;4x2;D;NULL;3800000
59;LEASING;FURGON;PEUGEOT;PARTNER HDI 1.6;2016;4x2;D;NULL;3600000
60;LEASING;FURGON;MERCEDES BENZ;VITO 113 CDI;2013;4x2;D;NULL;5800000
61;LEASING;FURGON;MERCEDES BENZ;VITO 113 CDI;2013;4x2;D;NULL;4000000
62;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3000000
63;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2900000
64;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;2700000
65;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2600000
66;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2700000
67;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3200000
68;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3000000
69;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;NULL;3500000
70;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3500000
71;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3000000
73;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2600000
74;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2700000
75;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;2600000
76;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3400000
77;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;2700000
78;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2600000
79;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;2600000
80;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;2700000
81;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3000000
82;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2900000
83;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2700000
84;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2700000
85;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;2700000
86;AUTOMOTORAS;SEDAN;VOLKSWAGEN;VOYAGE POWER 1.6;2017;4x2;B;NULL;4600000
87;AUTOMOTORAS;SEDAN;TOYOTA;YARIS GLI 1.5;2015;4x2;B;NULL;5300000
88;AUTOMOTORAS;SEDAN;TOYOTA;YARIS GLI 1.5;2015;4x2;B;NULL;5300000
89;PARTICULARES;SEDAN;CITROËN;C4 N2 1.6;2013;4x2;B;NULL;4600000
90;LIQUIDACIONES;HATCHBACK;RENAULT;CLIO HB EXPRESSION 1.2;2017;4x2;B;NULL;5300000
91;AUTOMOTORAS;HATCHBACK;AUDI;A4 1.8T MULTITRONIC;2010;4x2;B;NULL;6000000
92;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;NULL;5300000
93;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;NULL;5300000
94;PARTICULARES;HATCHBACK;SUZUKI;SWIFT GL 1.2;2015;4x2;B;NULL;4400000
95;PARTICULARES;HATCHBACK;SUZUKI;SX4 GLX SPORT 1.6;2014;4x2;B;NULL;4300000
96;PARTICULARES;SEDAN;PROTON;PREVEE 1.6;2017;4x2;B;NULL;5000000
97;LEASING;HATCHBACK;SUZUKI;ALTO 800;2017;4x2;B;NULL;2400000
98;LEASING;HATCHBACK;SUZUKI;ALTO DLX 800;2017;4x2;B;NULL;3000000
99;LEASING;HATCHBACK;SUZUKI;ALTO DLX 800;2017;4x2;B;NULL;2700000
100;LEASING;HATCHBACK;SUZUKI;ALTO 800;2017;4x2;B;NULL;2400000
101;AUTOMOTORAS;SEDAN;NISSAN;TIIDA 1.6;2014;4x2;B;NULL;4100000
102;AUTOMOTORAS;SEDAN;NISSAN;TIIDA 1.6;2014;4x2;B;NULL;3700000
1;AUTOMOTORAS;STATION WAGON;PEUGEOT;4008 FELINE EHDI 4WD 1.6;2018;4WD;D;NULL;11600000
2;AUTOMOTORAS;STATION WAGON;PEUGEOT;3008 ALLURE 1.6 AUT;2018;4x2;B;NULL;12900000
3;LEASING;SUV/JEEP;FORD;EXPLORER XLT 4X4 3.5 AUT;2017;4WD;B;NULL;12400000
4;PARTICULARES;SUV/JEEP;FORD;EXPLORER 2.3 AUT;2017;4x2;B;NULL;12800000
6;AUTOMOTORAS;STATION WAGON;INFINITI;EX37 3.7 AUT;2015;AWD;B;NULL;11500000
7;LEASING;STATION WAGON;CITROËN;C4 PICASSO BLUE HDI 1.6 AUT;2018;4x2;D;NULL;11300000
8;PARTICULARES;SUV/JEEP;HYUNDAI;SANTA FE GLS 4X4 2.4 AUT;2017;4WD;B;NULL;12700000
9;LEASING;SEDAN;VOLVO;S60 T3 COMFORT 1.5;2019;4x2;B;NULL;13500000
10;LEASING;SEDAN;HYUNDAI;ELANTRA GLS 1.6 AUT;2018;4x2;B;NULL;8600000
11;AUTOMOTORAS;SEDAN;PEUGEOT;301 ACTIVE VTI 1.6 AUT;2018;4x2;B;NULL;5800000
12;AUTOMOTORAS;SEDAN;PEUGEOT;301 ACTIVE VTI 1.6 AUT;2018;4x2;B;NULL;5900000
13;AUTOMOTORAS;SEDAN;PEUGEOT;301 ACTIVE VTI 1.6 AUT;2018;4x2;B;NULL;5800000
16;PARTICULARES;SUV/JEEP;TOYOTA;FJ CRUISER LIMITED 4.0 AUT;2013;4x4;B;NULL;9400000
17;PARTICULARES;SUV/JEEP;MITSUBISHI;OUTLANDER GLX 4X4 2.4 AUT;2017;4x4;B;NULL;10200000
18;AUTOMOTORAS;STATION WAGON;MITSUBISHI;OUTLANDER 4X4 2.4 AUT;2016;4x4;B;NULL;7200000
19;PARTICULARES;SUV/JEEP;MITSUBISHI;OUTLANDER GLX 4X4 2.4 AUT;2015;4x4;B;NULL;7400000
20;PARTICULARES;SUV/JEEP;FORD;NEW EXPLORER XLT 3.5 AUT;2014;4x2;B;NULL;8500000
21;PARTICULARES;SUV/JEEP;SUZUKI;GRAND NOMADE GLX SPORT 2.4;2016;4x4;B;NULL;6000000
22;BFE;SUV/JEEP;SUZUKI;GRAND NOMADE SPORT 2.4;2016;4x4;B;NULL;5500000
23;BFE;SUV/JEEP;SUZUKI;GRAND NOMADE 2.4;2016;4x2;B;NULL;5300000
24;PARTICULARES;SUV/JEEP;TOYOTA;RAV4 2.5 AUT;2015;4x2;B;NULL;6600000
25;PARTICULARES;HATCHBACK;MINI;F55 COOPER 1.5;2017;4x2;B;NULL;8600000
26;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 GT 1.2;2016;4x2;B;NULL;6700000
27;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 GT LINE 1.2 AUT;2016;4x2;B;NULL;6700000
28;PARTICULARES;HATCHBACK;PEUGEOT;208 GT 1.2 AT;2016;4x2;B;NULL;6700000
29;LEASING;HATCHBACK;HYUNDAI;GRAND I10 BA GLS 1.2 AT;2018;4x2;B;NULL;6100000
30;LEASING;HATCHBACK;HYUNDAI;GRAND I10 BA GLS 1.2 AT;2018;4x2;B;NULL;6100000
31;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2 AUT;2017;4x2;B;NULL;5800000
32;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2 AUT;2017;4x2;B;NULL;5600000
33;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE PURETECH 1.2 AUT;2017;4x2;B;NULL;5600000
34;AUTOMOTORAS;HATCHBACK;PEUGEOT;208 ACTIVE 1.2 AUT;2017;4x2;B;NULL;5600000
35;PARTICULARES;SEDAN;SUBARU;LEGACY XS AWD CVT 2.5I;2016;AWD;B;NULL;7200000
36;PARTICULARES;SEDAN;MAZDA;6 2.2 AUT;2015;4x2;D;NULL;8800000
37;AUTOMOTORAS;SEDAN;VOLKSWAGEN;VOYAGE POWER 1.6;2017;4x2;B;NULL;5300000
38;AUTOMOTORAS;SEDAN;VOLKSWAGEN;VOYAGE POWER 1.6;2017;4x2;B;NULL;5200000
39;BFE;HATCHBACK;CHEVROLET;ONIX LTZ 1.4;2018;4x2;B;NULL;5300000
40;BFE;SEDAN;CHEVROLET;PRISMA LT 1.4;2018;4x2;B;NULL;5400000
41;PARTICULARES;CAMIONETA;DODGE;NEW RAM 1500 SLT 4X4 3.6 AUT;2015;4x4;B;NULL;10300000
42;PARTICULARES;CAMIONETA;MITSUBISHI;L200 KATANA DCAB 4X4 2.4;2018;4x4;D;NULL;10200000
43;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2017;4x4;D;NULL;7600000
44;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.4;2017;4x4;D;NULL;8200000
45;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRM 4X4 2.4;2017;4x4;D;NULL;7300000
46;LEASING;CAMIONETA;NISSAN;NP300 4X4 2.3;2016;4x4;D;NULL;8100000
47;LEASING;CAMIONETA;CHEVROLET;D MAX 2.5;2017;4x2;D;NULL;9100000
48;LEASING;CAMIONETA;CHEVROLET;D MAX 2.5;2017;4x2;D;NULL;7400000
49;BFE;CAMIONETA;MITSUBISHI;L200 KATANA D CAB CRM 4X4 2.5;2016;4x4;D;NULL;6600000
50;LEASING;CAMIONETA;VOLKSWAGEN;AMAROK TRENDLINE TDI 4X4 2.0 AUT;2014;AWD;D;NULL;6300000
52;LEASING;CAMIONETA;NISSAN;NAVARA DCAB 4X4 2.5;2016;4x4;D;NULL;7300000
53;LEASING;CAMIONETA;MITSUBISHI;L200 KATANA CRT 4X4 2.5;2015;4x4;D;NULL;5800000
54;BFE;CAMIONETA;NISSAN;TERRANO DXS D CAB 4X4 2.5;2014;4x4;D;NULL;4900000
55;BFE;CAMIONETA;TOYOTA;HILUX 2.5;2011;4x2;D;NULL;5400000
56;BFE;CAMIONETA;ZNA;RICH 2.4;2017;4x2;B;NULL;3100000
57;BFE;FURGON;CHEVROLET;N300 MAX VAN 1.2;2019;4x2;B;NULL;4400000
58;LEASING;FURGON;PEUGEOT;BOXER HDI 2.2;2014;4x2;D;NULL;5000000
59;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3600000
60;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3600000
61;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3400000
62;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3300000
63;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3600000
64;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3300000
65;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3300000
66;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3100000
67;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3300000
68;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;NULL;3300000
69;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3100000
70;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3100000
71;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3400000
72;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3000000
73;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3000000
74;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3100000
75;LEASING;FURGON;FIAT;FIORINO 1.3;2014;4x2;D;NULL;3100000
76;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3100000
77;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3000000
78;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3000000
79;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3600000
80;LEASING;FURGON;FIAT;FIORINO CITY 1.3;2014;4x2;D;NULL;3000000
81;LEASING;FURGON;FIAT;FIORINO CITY 1.2;2014;4x2;D;NULL;3400000
82;BFE;STATION WAGON;DODGE;GRAND CARAVAN 3.6 AUT;2015;4x2;B;NULL;5000000
83;BFE;SUV/JEEP;CHERY;TIGGO DVVT 1.6;2017;4x2;B;NULL;3500000
84;AUTOMOTORAS;STATION WAGON;RENAULT;NEW KOLEOS DYNAMIQUE 2.5 AT;2014;4x2;B;NULL;5800000
85;AUTOMOTORAS;STATION WAGON;JEEP;GRAND CHEROKEE LIMITED 5.7 AUT;2011;4x4;B;NULL;7200000
86;BFE;SEDAN;HYUNDAI;ACCENT RB GL 1.4;2017;4x2;B;NULL;5700000
87;PARTICULARES;SEDAN;HYUNDAI;ACCENT RB GL 1.4;2016;4x2;B;NULL;5600000
88;BFE;SEDAN;HYUNDAI;ACCENT RB GL 1.6 AT;2015;4x2;B;NULL;5200000
89;PARTICULARES;SEDAN;CHEVROLET;CRUZE II LS FULL 1.8 AT;2014;4x2;B;NULL;5000000
90;BFE;SEDAN;CHEVROLET;SAIL 1.5;2018;4x2;B;NULL;4300000
91;BFE;SEDAN;CHEVROLET;SAIL LT 1.5;2017;4x2;B;NULL;5400000
92;BFE;SEDAN;CHEVROLET;SAIL 1.5;2017;4x2;B;NULL;4800000
93;LIQUIDACIONES;SEDAN;CHEVROLET;SAIL 1.5;2017;4x2;B;NULL;4200000
94;BFE;HATCHBACK;CHEVROLET;SPARK GT LT 1.2;2018;4x2;B;NULL;5000000
95;BFE;HATCHBACK;CHEVROLET;SPARK GT 1.2;2017;4x2;B;NULL;4600000
96;AUTOMOTORAS;SEDAN;TOYOTA;YARIS GLI 1.5;2015;4x2;B;NULL;5100000
97;AUTOMOTORAS;SEDAN;TOYOTA;YARIS GLI 1.5;2015;4x2;B;NULL;5000000
98;PARTICULARES;HATCHBACK;KIA MOTORS;RIO 5 EX 1.4 AT;2014;4x2;B;NULL;5100000
99;BFE;HATCHBACK;MG;3 STD 1.5;2017;4x2;B;NULL;4000000
100;BFE;HATCHBACK;SUZUKI;ALTO 800;2017;4x2;B;NULL;3000000
101;BFE;HATCHBACK;SUZUKI;ALTO 800;2017;4x2;B;NULL;3000000
102;BFE;SEDAN;FORD;FUSION 2.5 AUT;2014;4x2;B;NULL;6200000
